Country,State,Year,As On Date,"Number Of Houses Completed (UOM:Number), Scaling Factor:1"
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Jharkhand,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Karnataka,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Kerala,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Ladakh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Maharashtra,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Manipur,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Meghalaya,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Mizoram,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Nagaland,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Puducherry,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Rajasthan,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Sikkim,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Telangana,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,West Bengal,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
