Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Mizoram,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,1,0,0,0,0,1
India,Odisha,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,94316,94292,0,0,0,93921
India,Punjab,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,537,0,0,0,0,537
India,Rajasthan,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,16675,0,4,3,0,16675
India,Sikkim,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,24,0,0,0,0,24
India,Tamil Nadu,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,7,0,0,0,0,7
India,Telangana,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,4.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,2.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,55,72,0,0,0,55
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,854647,857052,0,0,0,854647
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,1048,17819,0,0,0,1048
India,West Bengal,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,1486145,1101722,2,2,0,1486145
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,1,0,0,0,0,1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,105146.68861052198657432310,104865.92230428434111027036,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,105146.68861052198657432310
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,5325,5497,0,0,0,5325
India,Assam,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,1361698,1082157,742643,1,2365,1361434
India,Bihar,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,1511461,1001507,182,24,0,1511453
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,3259,0,2545,0,1,3259
India,Goa,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,20508,23338,13,3,1,20507
India,Haryana,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,10613,7737,0,0,0,10613
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,3545,3484,0,0,0,3545
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,105036,62450,3,0,0,105032
India,Jharkhand,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,424678,395235,151,36,2,424678
India,Karnataka,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,193028,78355,0,0,0,193028
India,Kerala,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,14307,13071,0,0,0,14307
India,Ladakh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,3,0,0,0,0,3
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,1763260,1148268,370840,149,60974,1762994
India,Maharashtra,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,598281,356353,108,17,5,598281
India,Manipur,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,41323,11058,0,0,0,41321
India,Meghalaya,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,16864,16392,0,0,0,16864
India,Mizoram,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,9254,6975,0,0,0,9254
India,Nagaland,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,4874,4874,0,0,0,4874
India,Odisha,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,880606,778041,5,2,1,880606
India,Punjab,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,27393,15521,0,0,5,27393
India,Rajasthan,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,437179,392609,30,10,12,437179
India,Sikkim,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,50,67,0,0,0,50
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,270878,242647,37,1,2,270878
India,Telangana,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,74238.31138947801342567690,74040.07769571565888972964,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,74238.31138947801342567690
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,1163.00000000000000000000,1149.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,951.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,310371,212072,167099,0,1780,309891
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,389701,433058,0,0,0,389701
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,43,2997,0,0,0,43
India,West Bengal,"Financial Year (Apr - Mar), 2021",03-Dec-2025,All Category,119878,159219,112575,0,116,119781
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,0,382,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,0.58615095247942685606,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.58615095247942685606
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,9429,11588,9253,0,42,9427
India,Assam,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,280592,275900,268491,0,439,280412
India,Bihar,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,237475,241492,228772,2,318,237252
